MSN,YYYYMM,Value,Column_Order,Description,Unit
CKTCEUS,201411,131.182,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201412,137.158,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201413,1713.613,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201501,142.559,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201502,134.036,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201503,118.126,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201504,98.889,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201505,114.865,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201506,136.705,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201507,150.87,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201508,145.491,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201509,128.645,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201510,108.468,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201511,99.587,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201512,102.151,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201513,1480.39,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201601,123.417,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201602,102.569,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201603,83.145,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201604,80.763,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201605,91.741,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
